#{"t_start": 1776408462.23993, "env_id": "None"}
r,l,t
666.15015,86,2.057892
731.0325,89,2.11967
1071.8892,106,2.515813
1151.4406,133,3.152546
1376.5227,139,3.302988
1416.5045,143,3.404214
1294.9905,149,3.541908
1370.4962,150,3.568461
1771.2067,180,4.300148
994.47235,98,4.843836
1246.8195,125,4.999356
2080.499,215,5.079221
1030.4487,121,6.012587
1229.064,124,6.225398
1310.721,133,6.538035
1269.5841,126,6.538035
1196.4962,139,6.819432
964.39935,95,7.067278
1756.4633,213,7.124656
1188.7668,121,7.83279
1651.9194,169,8.200246
1025.5378,121,8.742802
1487.1907,173,9.039489
1241.2561,127,9.087126
955.07654,95,9.167059
1271.8499,129,9.405673
1268.9293,129,9.405673
1191.4255,139,9.879009
1192.8258,121,10.405453
973.06995,102,11.372679
2558.763,500,11.46422
1898.0714,500,11.46422
1025.2648,126,11.48548
1265.5991,138,12.023058
1678.4897,180,12.04075
1273.1018,137,12.294894
1275.0645,138,12.314041
1457.9042,176,12.768805
1214.867,151,13.078432
1191.4128,129,13.165515
974.65735,106,13.550534
1228.8763,132,14.675242
1273.2186,138,15.062577
1279.7087,138,15.081645
953.7072,97,15.440255
1620.3522,174,15.536127
1205.6483,127,15.677339
1150.4556,142,15.927177
1417.4227,175,16.309061
1218.0083,133,17.354254
1001.775,500,17.518008
970.8927,104,17.536061
1261.7327,135,17.75164
1253.7063,137,17.809815
1180.9048,124,18.108024
1145.193,144,18.724038
1555.9255,167,18.83532
947.35144,97,19.418332
1355.2073,166,19.512908
1213.6503,129,19.851435
1247.5848,131,20.364641
1256.176,134,20.364641
1152.5092,126,20.550712
925.35016,95,21.21141
2353.931,500,21.314156
1315.1252,500,21.314156
2072.8687,500,21.336909
1154.1611,143,21.457508
1547.9478,163,21.960813
1189.596,126,22.253861
1356.4996,165,22.659995
1170.7144,125,22.910813
1257.4623,135,22.910813
1256.812,137,22.947491
939.9583,99,23.105839
963.38794,122,23.705879
1126.9032,141,24.199983
1177.9121,127,24.721973
922.2931,94,24.976713
1523.2457,162,25.117388
1241.593,133,25.551906
1232.211,133,25.589031
1368.7458,169,26.060312
977.16614,126,26.307616
1126.0518,140,27.290562
934.6446,500,27.644813
1227.8544,130,28.77273
1505.4398,160,28.966982
970.4633,123,29.406758
1095.6774,138,30.78142
1837.8329,204,31.190866
970.78845,121,32.461922
2232.052,500,32.635201
1266.757,500,32.635201
1529.3307,172,33.325654
1472.852,207,34.030011
1087.8063,135,34.209161
2077.0408,500,34.774024
958.1924,122,35.582552
1799.6305,193,36.068855
2050.436,500,36.790053
1239.8479,134,37.019063
1939.2972,500,37.019063
1514.3483,163,37.060198
1075.4276,134,37.149505
2045.2015,500,37.579307
934.12805,121,37.915287
800.55817,500,39.160075
1054.2395,131,39.60121
937.37134,118,40.146592
1518.4316,164,40.146592
1484.742,209,40.926402
1847.5842,284,41.340585
1087.767,143,42.250714
948.36707,123,42.407967
2290.5452,500,42.858097
1744.4181,500,42.858097
1536.5671,168,43.300414
2084.5522,500,44.566161
927.5207,121,44.86045
1069.2915,136,45.002258
2116.3164,500,46.438864
2026.4325,263,46.594863
1522.0186,166,46.702965
1845.0315,500,46.702965
2149.5422,500,47.367841
808.0959,500,49.08761
1365.4838,231,49.647547
2198.822,442,49.856152
1492.891,156,49.961976
572.1207,82,50.782095
1577.7845,427,51.705915
1983.1003,259,52.006503
1270.9324,137,52.674972
2404.1252,500,53.189484
1493.4902,158,53.230799
1170.8997,181,53.39513
2090.1794,500,55.177995
2123.757,500,55.700562
956.41376,123,56.362605
1491.9397,158,57.021249
545.2951,76,57.021249
2100.7314,500,57.363208
1475.6239,207,57.560506
1870.7676,500,57.678074
2151.2578,500,58.385893
536.868,74,58.754958
924.31506,117,59.147899
1529.0309,335,59.435359
914.3814,93,59.888152
2147.4624,364,60.465894
1240.9453,129,60.614705
1503.9609,160,60.798776
1222.8633,132,61.539895
1156.5155,122,61.664393
926.86206,113,61.835507
1032.2317,500,62.340564
1236.3042,128,63.699059
1481.9136,153,64.466488
1209.2393,127,64.582593
907.4046,115,64.582593
1596.9547,193,65.081372
2260.059,500,65.10884
608.1245,170,66.342384
898.96594,112,67.168415
1182.6072,124,67.428097
2135.9316,500,67.490271
1485.3501,156,68.031048
1458.1855,201,68.305202
2036.8433,500,69.050868
878.72974,106,69.540647
1166.2856,120,70.18612
1009.7579,124,70.341423
2148.8125,500,71.071964
1217.3389,123,71.107094
1873.4585,500,71.490147
1485.3893,155,71.55452
2069.2327,298,71.839535
910.7844,114,72.125108
1013.2375,124,73.070743
1955.0173,500,73.135459
907.60535,92,73.514641
1475.3635,157,74.979923
1151.5573,121,75.752264
1014.6885,125,75.775867
1490.5286,214,75.775867
2164.4622,500,76.254648
1945.569,255,77.41592
783.9172,500,77.452036
1483.1346,159,78.36844
550.54645,75,78.964165
1888.0615,500,79.921511
1490.6211,208,80.160062
1817.1484,500,80.918277
1473.5043,156,81.65298
1987.8234,500,81.768277
1962.8761,500,82.79686
1062.6694,166,83.809598
1663.1836,500,84.342466
2034.1924,340,84.787425
1488.5282,157,85.312775
1152.201,166,86.807558
1866.9269,500,86.835634
1980.4211,500,86.865895
2132.3267,500,87.444575
1477.8707,206,88.726185
1459.2095,152,88.870255
1029.4764,128,89.758236
831.4417,500,90.282649
1843.4908,500,91.382696
1853.9291,500,92.490213
1487.6857,159,92.53236
2032.2849,500,93.341026
1812.1168,500,95.422609
1492.3538,159,95.602129
2443.0942,500,95.762958
1940.4979,500,97.224209
1906.0297,500,97.240804
2190.6057,500,97.644053
1476.9686,157,98.347167
2089.1638,500,98.661612
1752.8973,449,99.050034
1174.1785,122,99.424468
2079.6755,500,99.548635
1933.7611,500,100.957779
1243.167,127,101.185847
1482.1138,154,101.392343
2026.2903,500,102.129066
1195.4048,127,102.22657
2092.1414,500,103.022923
1184.7314,126,103.905848
1230.0898,124,104.084603
1912.0238,438,104.127004
1188.2241,124,104.92404
1166.8632,121,104.943109
1498.6823,160,105.093822
1710.6406,311,105.874875
2538.5417,500,105.93637
929.87756,97,106.31141
1159.3892,121,106.618615
1219.6482,123,106.856787
1147.2438,118,107.601735
1194.0468,127,107.791832
1978.4905,500,107.865064
2222.2354,500,108.453076
929.7485,96,108.53999
1448.9973,152,108.584607
1156.4227,121,109.382046
1227.6644,123,109.658871
1153.1425,121,110.352547
928.7343,117,110.532526
912.6748,93,110.618809
1180.7085,128,110.717537
2036.6285,500,110.84123
1639.1912,234,111.235484
1447.0486,150,112.046204
1169.7233,126,112.362247
907.69165,112,113.216267
1173.0198,126,113.373105
1204.3046,126,113.756638
1992.6792,500,114.555839
1468.2911,154,115.675995
901.00586,112,115.855019
2515.6052,500,117.637101
1530.5988,277,117.820174
898.9664,115,118.568625
2051.2915,393,118.937141
1438.9181,147,119.150701
2213.4568,500,120.044562
1845.814,500,122.000546
2047.8109,500,122.190251
1458.9658,150,122.212574
1472.2906,201,123.023889
2056.7905,500,123.412498
1897.4243,283,123.689029
2079.145,500,124.283857
2080.7207,500,124.59316
1448.7654,151,125.300168
1934.1697,500,125.384063
1188.0376,183,125.752823
1143.1469,119,126.832149
1199.0608,125,127.251463
2513.6558,500,128.033182
1452.2198,151,128.370091
1681.4762,233,128.523208
1941.7235,500,128.870363
1131.9724,116,129.191216
1177.5746,181,129.488931
1690.5044,298,129.626162
1178.9705,122,129.786944
2180.388,500,130.326918
2091.5552,398,131.360644
921.2999,91,131.470202
1419.6084,145,131.515009
1168.614,118,131.750055
1153.8992,120,132.200299
1168.8585,119,132.319409
2070.785,500,132.589067
943.11096,209,132.967205
912.213,91,133.341018
1231.962,125,133.940094
1166.0348,119,134.187143
1432.6879,150,134.629298
1137.0981,118,134.648854
1176.4814,121,134.824708
933.35876,95,135.288667
1997.4996,500,135.770999
1223.4341,123,136.637081
1161.6322,121,136.911913
1149.7611,121,137.469313
915.81854,94,137.626519
1187.7953,124,137.799145
1672.0392,216,137.871789
1416.9208,146,138.111802
2588.1782,500,139.247098
2037.9457,500,140.281219
1161.0846,122,140.722993
1191.606,126,141.117814
1426.911,146,141.997545
2201.659,500,142.097286
1682.8688,214,143.587274
