#{"t_start": 1775223357.6713285, "env_id": "None"}
r,l,t
1597.4921,187,7.239676
1824.9607,205,7.641826
1955.867,222,8.037009
1886.1245,222,8.038018
1922.524,223,8.057543
1904.3585,225,8.1017
1945.2892,226,8.122716
1951.0643,229,8.186482
1437.0342,237,8.351288
2069.52,246,8.529841
2182.8857,251,8.649976
2396.805,321,10.487027
1554.8141,176,11.550094
1785.402,196,12.637944
1518.8661,169,12.785666
1850.7161,205,13.318231
1869.734,208,13.318231
1865.4684,207,13.318231
1842.0092,205,13.405149
1978.3027,214,13.44316
1934.2758,212,13.481352
1957.2991,219,14.166418
2130.7754,235,14.973457
1553.0242,171,16.801999
2094.8142,225,17.268991
1542.2885,172,18.509509
1803.4205,196,19.214736
1850.2517,203,20.585322
1867.479,203,20.585322
1873.0555,205,20.666873
1834.5155,202,20.706228
1968.8923,213,21.217455
1932.7018,212,21.257512
1979.9211,218,22.532757
1561.2236,172,23.422047
2113.6726,232,23.900794
1518.3344,169,25.074782
2117.5571,229,26.177999
1788.7737,196,26.902879
1852.7816,202,28.541413
1814.1439,199,28.541413
1853.737,203,28.58105
1906.8293,210,28.945936
2017.2257,218,29.838408
1976.673,217,29.838408
1589.9995,174,30.351637
1991.866,219,31.219296
1555.1772,173,31.961137
2166.1875,237,33.347279
1791.287,195,34.648592
2117.4792,228,35.239559
1826.2871,199,36.462521
1847.2748,200,36.506135
1873.0361,206,36.743341
1570.995,171,37.081032
1919.6127,211,37.286357
1952.372,211,38.159072
1992.8926,214,38.272343
1543.0747,172,38.694016
1973.1053,214,39.572685
1789.5929,193,42.075962
2137.8423,232,42.321835
1574.0009,171,43.695703
1799.7776,192,43.892746
2109.0557,226,43.961823
1844.459,199,44.132834
1850.8381,201,44.540571
1885.3844,204,45.229186
1531.3322,170,45.299382
1941.2642,208,46.235641
1958.8853,208,46.360209
1982.2445,213,47.869144
1796.7545,192,49.591999
1571.2552,166,50.156023
2101.0618,225,51.117665
1825.3235,193,51.438564
1827.2128,194,51.719683
1527.0696,168,51.837947
1835.8389,195,52.154014
2079.4104,220,52.594375
1885.3435,202,53.132367
1917.3649,205,54.291197
1955.2079,208,54.522045
1984.3273,213,56.382482
1556.4867,165,56.840122
1813.6411,193,57.370384
1779.7136,188,59.085948
1822.7902,193,59.57847
1839.269,197,60.19254
2091.4116,224,60.235081
1878.0343,201,61.319318
2080.357,221,61.598106
1898.5889,202,62.554077
1961.0975,208,63.05019
1568.9465,168,63.708637
1980.3096,214,65.096229
1807.7708,192,65.178895
2339.372,366,66.677943
1810.0403,191,66.805701
1833.8813,197,67.522579
1867.5012,201,68.296721
2109.8296,227,69.236351
1899.4028,203,69.294356
1570.507,168,69.764695
2108.6594,226,69.89839
1930.823,207,69.982938
1990.4242,212,70.316447
1827.6791,195,70.966284
1999.8789,217,71.321777
1800.6888,193,71.654861
1869.4113,201,72.116851
1421.4786,225,72.169257
1872.5228,202,72.469672
1621.8551,175,72.964062
1868.3447,200,73.001667
2138.3252,234,73.588575
1925.6177,208,73.79758
2131.7837,226,74.059769
1981.189,212,74.186642
1834.88,197,74.586891
1807.8318,195,75.357319
2001.8969,219,75.461085
1833.696,199,75.947382
1587.6545,169,76.27473
1851.0586,201,76.403254
1398.0892,233,76.722615
1891.9045,203,77.018846
1908.7659,207,77.985201
2131.2742,232,78.293583
1975.1759,213,78.553295
1824.568,194,78.590308
2134.4595,227,78.698566
1787.9873,193,79.315865
1617.6943,175,79.855652
1996.7598,218,79.893655
1821.5466,198,79.990171
1860.9729,203,80.500666
1873.0698,202,81.045221
1925.6823,209,82.280163
1842.0872,198,82.708389
1990.6948,215,83.061157
2113.7512,230,83.110927
1781.9056,192,83.423965
2097.725,225,83.469689
1607.6332,172,83.614315
1836.184,197,84.383609
2311.688,363,84.492163
1982.2206,219,84.782097
1850.7173,201,85.122242
1911.7809,207,85.967685
1920.4181,210,87.35703
1821.9552,196,87.453877
1628.1538,176,87.803708
1804.3585,197,88.096862
1998.1956,217,88.219038
2122.7703,234,88.690152
2146.6667,234,89.074239
1853.8885,204,89.279136
2003.6238,224,90.169239
1911.0311,210,90.169239
1935.6786,210,91.045052
1648.591,179,92.122256
1854.364,200,92.186273
1943.3798,212,92.370942
1809.8314,198,92.794161
2277.208,358,92.950502
1873.1436,205,93.843196
2179.9087,238,94.03653
2154.5725,232,94.23334
1922.9587,212,94.753385
2049.1433,226,95.031811
1989.5803,218,95.586975
1649.9199,181,95.781006
1864.6664,204,96.28744
1966.7375,214,96.686477
1831.7925,200,96.818386
2250.7742,405,97.037929
1851.1074,200,97.845178
2111.868,229,98.656224
1885.0002,205,98.871309
2174.8384,238,99.054798
1654.1613,182,99.491377
2014.1893,220,99.512384
1964.1006,215,99.985813
1885.9392,206,100.542786
2374.6592,384,100.775047
1813.3448,198,100.896821
1937.2285,210,100.989812
1878.6555,203,101.986819
1909.96,210,102.990252
1648.1398,183,103.007253
2191.7905,242,103.382608
2182.0007,236,103.596318
2033.5009,225,103.770383
1959.2201,218,104.027498
1897.5408,208,104.316694
1822.282,200,104.46878
1335.9952,226,104.814386
1985.6136,216,104.832933
2303.2732,416,104.988472
1853.8323,201,105.54423
1639.8254,182,106.338696
1891.3423,207,106.860259
2239.8118,246,108.194238
2054.4316,227,108.260783
2177.9946,241,108.345321
1947.9425,216,108.345321
1882.3894,207,108.511874
1840.9502,202,108.598249
1933.5873,211,109.259119
1368.6188,232,109.687894
1883.7343,203,109.955539
1673.7557,186,110.497808
1864.4496,201,111.531335
1832.1233,201,113.581276
1867.6367,206,113.604281
2008.0752,220,113.655794
1945.4257,216,113.655794
2136.6204,234,113.940987
2165.8953,237,114.199223
1953.3687,213,114.65526
2333.4636,424,114.888348
1848.071,199,115.08797
1649.7762,181,115.171545
1397.436,231,115.650622
1864.9375,202,116.695926
1815.4253,196,118.59646
1879.7666,203,118.801092
1931.7313,212,119.110028
2013.6577,223,119.402436
1633.3646,179,119.758573
1965.9523,213,120.097591
2212.4006,243,120.148618
1854.2253,201,120.226624
1852.0607,198,121.548282
1474.4673,241,121.56928
1806.2388,195,123.089995
1865.8507,202,123.41713
1630.2899,176,123.669205
1934.0774,212,123.901257
2008.4084,217,124.261976
1865.404,200,124.650113
1934.284,208,124.71912
2336.963,415,124.785629
2131.146,231,125.26593
1836.9663,195,125.822738
3315.7312,493,125.866287
1404.9457,230,126.584042
1807.5483,195,127.310997
1628.7965,177,127.482085
1881.1755,206,127.87592
1948.399,213,128.507211
1951.7709,212,128.84698
1846.1548,198,128.914104
1931.717,208,129.195113
1877.5244,201,130.126688
2144.0088,232,130.218739
2306.2659,260,130.349571
2147.0115,234,130.888429
1616.4882,175,131.284386
1786.5508,194,131.529392
1906.4208,210,132.484707
1935.0336,210,133.093761
2077.7336,300,133.113884
1823.7275,193,133.113884
1983.0988,216,133.583093
1950.678,211,133.854644
1871.9883,200,134.620278
1645.4519,178,135.346321
2115.8545,229,135.390591
1793.4149,193,135.930924
2312.0825,260,136.227283
2144.8528,236,136.252794
1877.4055,208,137.195641
1844.6577,198,137.638034
1947.9391,213,137.971807
1971.6292,214,138.46179
1401.8501,234,138.46179
1940.5627,208,138.583458
1855.6216,198,139.137989
1633.8726,176,139.342447
1814.6299,195,140.369074
2093.4106,225,140.528368
1971.8075,212,141.070279
2121.3005,231,141.543954
1883.3522,207,142.009649
1835.3213,195,142.181627
1869.019,201,142.687107
1618.6998,172,143.412101
1969.414,212,143.463621
1931.1371,207,143.463621
1845.7258,196,143.805184
1382.3379,231,143.963231
1832.1885,197,145.189533
2120.9558,227,146.049131
1903.1985,201,146.482764
1792.2048,190,146.849497
1855.0345,199,146.901573
2256.9243,253,147.27931
1907.3281,203,147.659642
1642.6915,173,147.687156
1923.897,206,148.556701
1856.0948,197,148.660886
1975.9646,213,148.733075
1404.879,229,149.605192
1814.7543,194,149.947867
1920.7498,202,151.195878
1820.5034,192,151.288002
2101.2727,227,151.324998
1842.5027,200,151.515159
1620.1304,173,151.620642
1910.6271,204,152.227471
2242.109,249,152.785573
1829.4567,193,152.785573
1907.5713,204,152.958108
1918.6915,205,153.11721
1763.8257,186,153.704704
1410.0521,232,154.389221
1619.2743,173,155.201186
1811.1827,193,155.306932
1929.6158,203,155.400444
1854.5975,201,155.680248
2165.8958,233,156.130437
1929.1453,207,156.493213
1822.7947,193,156.796632
1937.9155,206,157.219481
2049.59,220,157.711318
1819.12,193,157.777509
2357.4072,263,158.288418
1631.4052,174,158.802166
1429.5503,235,159.289312
1859.7952,197,159.390531
1926.9564,204,159.61259
1871.1631,202,159.82357
1870.3926,200,160.543616
2102.599,226,160.712866
1853.5898,197,160.772702
1965.6055,211,161.388582
1818.2172,195,161.544103
1937.5774,209,161.736134
1657.1595,181,162.174881
1942.7776,209,162.230397
1841.0482,198,162.975579
1949.4823,208,163.368325
1873.6307,206,163.522623
1508.8844,245,163.733709
1928.847,207,164.221683
1861.4796,200,164.315453
2126.0183,231,164.791093
1854.78,202,165.081606
1960.0804,213,165.119621
1634.553,178,165.294523
1969.403,214,165.48161
1948.709,212,165.948288
1838.8494,199,166.448448
1950.7158,209,167.00465
1861.7289,205,167.09093
1883.433,205,167.803849
1869.0886,202,167.839849
1511.3967,245,168.063594
1648.8335,179,168.677227
1820.242,197,168.82907
2111.1938,230,169.233145
1991.865,217,169.381825
1986.0226,216,169.876393
1920.0116,207,170.324937
1834.157,196,170.790318
1841.5752,200,171.840282
1957.4917,210,171.97406
1871.2137,201,172.94114
1907.2169,206,173.023678
1660.6572,179,173.263245
1845.3098,201,173.979119
1595.5203,260,174.726205
1966.8994,212,174.83284
2136.0947,232,175.202489
2006.5228,219,175.547442
1948.4252,209,175.729129
1847.0022,197,175.874834
1873.5183,204,177.121347
1935.4639,207,177.335146
1644.0747,176,177.825839
1868.5122,200,178.14187
1920.3778,207,178.39919
1819.7981,195,178.981083
2000.5051,215,179.917594
1843.3232,196,180.298646
2135.8137,230,180.446153
2022.6122,218,180.463154
2020.3345,217,180.570646
1628.3628,173,181.261701
1873.1879,201,181.279552
1958.9584,208,181.553943
1857.227,196,181.898302
1860.1769,197,182.091899
1792.8628,190,182.442452
2519.167,404,183.320079
1937.7434,206,183.690685
1860.0139,198,183.918251
1625.444,173,184.416427
2021.0911,217,184.435429
2161.3691,230,184.660805
1832.8711,197,184.875279
2317.671,250,185.148876
1952.2522,209,185.364978
1854.5867,196,185.467498
1874.6199,201,185.751287
1787.2488,190,185.871802
1533.0679,166,186.28681
1827.2633,193,187.398301
1953.7559,208,187.438538
1621.4637,172,187.511068
1885.5717,203,188.102431
1848.3145,198,188.45986
2101.874,226,188.758455
1932.3834,204,188.866539
1853.2949,198,189.110477
1956.4958,210,189.233637
1521.9077,164,189.387197
1795.2675,191,189.446123
1879.9641,201,189.524466
1637.038,176,191.045886
1824.8733,195,191.294524
1940.2389,208,191.575148
1964.629,212,192.347197
1845.3499,197,192.424717
1548.931,170,192.828655
1928.8004,203,192.97805
1872.1066,199,193.131047
1803.1669,192,193.294734
2116.7178,227,193.33026
1944.432,209,193.419784
1877.2478,199,193.473796
1636.7092,174,194.424598
1822.2086,194,195.106762
1939.9982,207,195.668228
1527.5856,165,196.121978
1860.6646,199,196.423525
2007.9662,217,196.778518
1902.199,200,197.137771
1885.1401,202,197.391521
1812.9203,195,197.442043
1859.5677,199,197.782949
1980.3523,214,198.071069
2098.9077,225,198.21328
1634.8271,176,198.375634
1837.3373,197,199.706257
1543.9956,169,200.180782
1980.1005,212,200.719049
1852.6626,198,201.295425
1950.99,210,201.969226
1926.0942,204,202.177075
1818.7549,194,202.228601
1881.9049,201,202.355116
1619.8202,173,202.649242
1863.7969,199,202.671238
1981.4116,213,203.304228
2128.3457,228,203.832874
1514.1812,163,204.252963
1847.797,197,204.566926
1941.1696,207,205.922881
1822.2457,194,206.158921
1631.9823,173,206.952946
1809.047,192,206.973444
1952.1243,209,207.13059
1854.508,197,207.192598
1944.6031,206,207.240684
1887.4868,200,207.526399
1510.3573,163,208.05742
1956.9272,209,208.204727
2104.9944,224,208.869949
1836.799,195,208.888949
1810.489,192,210.087775
1904.4166,201,210.088776
1589.4603,167,210.249644
1792.2402,190,210.725859
1803.9185,191,210.919907
1863.4619,196,211.056046
1904.987,202,211.073682
1842.2985,195,211.315032
1957.0348,207,212.203851
1832.1805,193,212.670581
2086.334,220,213.227278
1614.1523,169,213.577613
1808.0216,191,213.899303
1904.8364,199,214.082452
2178.0886,313,214.308188
1793.8474,188,214.540266
1853.538,195,214.975972
1903.8131,200,215.225685
1955.9127,207,215.377942
1877.8894,198,215.452491
1946.0854,205,216.512609
1855.5134,195,216.782225
1624.3087,170,217.164716
1519.9546,164,217.706421
2115.22,225,217.961571
1840.9786,195,217.982572
1892.4354,199,218.212696
1787.6754,187,218.392211
1845.1616,195,218.93959
1874.8766,197,219.230408
1876.935,199,219.521511
1968.8116,209,219.649604
1621.6218,171,220.697465
1839.248,193,220.775013
1984.3354,210,220.865552
1525.6587,164,221.090837
1864.1611,199,222.125634
1795.0037,189,222.354077
1926.5745,204,222.48761
2139.7788,228,222.708606
1882.4313,199,223.108008
1963.2025,209,223.619444
1890.9062,201,223.743524
1962.0094,209,224.037935
1624.3854,172,224.329944
1523.6584,164,224.563044
1868.0916,197,224.942805
2009.8223,213,225.380107
1858.5575,199,226.512034
1829.2256,195,226.686131
1963.0444,208,227.138156
1901.9352,202,227.761422
2126.3284,227,227.912414
1633.8696,173,228.482284
1890.7031,202,228.512289
1540.547,168,228.631311
1992.3276,214,228.652319
1982.0366,212,229.128544
1866.4062,197,229.800319
2010.6382,215,230.778654
1863.4457,199,231.496948
1834.6409,194,231.545003
1949.7368,206,232.335242
1511.0792,163,232.742085
1878.4247,200,232.798087
1654.0162,175,232.903629
1870.8802,198,233.498855
2148.2224,229,233.672531
1925.771,206,233.834451
